language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,Natively Multilabel,0.54 $\pm$ 0.01,0.59 $\pm$ 0.02,0.61 $\pm$ 0.03,0.62 $\pm$ 0.02,0.63 $\pm$ 0.01,0.64 $\pm$ 0.03
en,ComplementNB,RakelD Partitioning of labels,0.60 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,KNN,BorderlineSMOTE,0.57 $\pm$ 0.00,0.62 $\pm$ 0.01,0.63 $\pm$ 0.02,0.65 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.00
en,KNN,No Upsampling,0.57 $\pm$ 0.01,0.59 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01
en,KNN,Random Oversampling,0.58 $\pm$ 0.02,0.62 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01
en,KNN,SMOTE,0.59 $\pm$ 0.01,0.63 $\pm$ 0.01,0.62 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01
en,KNN,SVMSMOTE,0.57 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.65 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LinearSVM,BorderlineSMOTE,0.60 $\pm$ 0.00,0.65 $\pm$ 0.00,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LinearSVM,No Upsampling,0.60 $\pm$ 0.00,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LinearSVM,RakelD Partitioning of labels,0.59 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LinearSVM,Random Oversampling,0.60 $\pm$ 0.00,0.64 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LinearSVM,SMOTE,0.60 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LogisticRegression,BorderlineSMOTE,0.55 $\pm$ 0.01,0.60 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegression,No Upsampling,0.55 $\pm$ 0.01,0.59 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01
en,LogisticRegression,Random Oversampling,0.55 $\pm$ 0.01,0.59 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegression,SMOTE,0.55 $\pm$ 0.01,0.59 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01
en,LogisticRegression,SVMSMOTE,0.55 $\pm$ 0.00,0.58 $\pm$ 0.02,0.60 $\pm$ 0.01,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01
en,LogisticRegressionElasticNet,BorderlineSMOTE,0.56 $\pm$ 0.01,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LogisticRegressionElasticNet,No Upsampling,0.57 $\pm$ 0.01,0.62 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LogisticRegressionElasticNet,Random Oversampling,0.57 $\pm$ 0.02,0.62 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegressionElasticNet,SMOTE,0.56 $\pm$ 0.02,0.62 $\pm$ 0.01,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.00
en,LogisticRegressionElasticNet,SVMSMOTE,0.56 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.01,0.64 $\pm$ 0.03,0.65 $\pm$ 0.02,0.67 $\pm$ 0.01
en,LogisticRegressionLasso,BorderlineSMOTE,0.55 $\pm$ 0.01,0.61 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegressionLasso,No Upsampling,0.55 $\pm$ 0.01,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.02,0.64 $\pm$ 0.00,0.67 $\pm$ 0.01
en,LogisticRegressionLasso,Random Oversampling,0.55 $\pm$ 0.01,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegressionLasso,SMOTE,0.55 $\pm$ 0.02,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LogisticRegressionLasso,SVMSMOTE,0.55 $\pm$ 0.00,0.60 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01
en,LogisticRegressionRidge,BorderlineSMOTE,0.60 $\pm$ 0.01,0.65 $\pm$ 0.00,0.66 $\pm$ 0.02,0.66 $\pm$ 0.01,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01
en,LogisticRegressionRidge,No Upsampling,0.59 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LogisticRegressionRidge,RakelD Partitioning of labels,0.62 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,0.68 $\pm$ 0.02,**0.69 $\pm$ 0.01**,**0.69 $\pm$ 0.01**
en,LogisticRegressionRidge,Random Oversampling,0.60 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LogisticRegressionRidge,SMOTE,0.60 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.66 $\pm$ 0.00,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.02**
en,LogisticRegressionRidge,SVMSMOTE,0.60 $\pm$ 0.00,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01
en,Multi-label ARAM,Natively Multilabel,0.35 $\pm$ 0.13,0.26 $\pm$ 0.13,0.38 $\pm$ 0.03,0.40 $\pm$ 0.04,0.43 $\pm$ 0.01,0.37 $\pm$ 0.02
en,Multilabel k Nearest Neighbours,Natively Multilabel,0.55 $\pm$ 0.00,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.62 $\pm$ 0.01,0.65 $\pm$ 0.01,0.64 $\pm$ 0.01
en,NaiveBayes,BorderlineSMOTE,0.60 $\pm$ 0.00,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**,**0.69 $\pm$ 0.01**
en,NaiveBayes,No Upsampling,0.60 $\pm$ 0.00,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,NaiveBayes,Random Oversampling,0.60 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,NaiveBayes,SMOTE,0.61 $\pm$ 0.01,0.66 $\pm$ 0.01,0.68 $\pm$ 0.02,0.68 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,NaiveBayes,SVMSMOTE,0.60 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,RandomForest,BorderlineSMOTE,0.49 $\pm$ 0.03,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01,0.68 $\pm$ 0.01
en,RandomForest,No Upsampling,0.49 $\pm$ 0.03,0.60 $\pm$ 0.03,0.62 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,**0.69 $\pm$ 0.01**
en,RandomForest,Random Oversampling,0.50 $\pm$ 0.05,0.59 $\pm$ 0.02,0.63 $\pm$ 0.03,0.65 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01
en,RandomForest,SMOTE,0.50 $\pm$ 0.04,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.68 $\pm$ 0.01
en,RandomForest,SVMSMOTE,0.48 $\pm$ 0.03,0.60 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01,0.68 $\pm$ 0.02
en,RidgeClassifier,BorderlineSMOTE,0.58 $\pm$ 0.01,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01
en,RidgeClassifier,No Upsampling,0.59 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02,**0.69 $\pm$ 0.01**
en,RidgeClassifier,Random Oversampling,0.59 $\pm$ 0.01,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.03,0.67 $\pm$ 0.01,**0.69 $\pm$ 0.02**
en,RidgeClassifier,SMOTE,0.59 $\pm$ 0.01,0.61 $\pm$ 0.02,0.63 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01
en,RidgeClassifier,SVMSMOTE,0.59 $\pm$ 0.01,0.61 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01
en,SVM,BorderlineSMOTE,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,SVM,No Upsampling,0.61 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,SVM,RakelD Partitioning of labels,0.60 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.03,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,SVM,Random Oversampling,0.60 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,SVM,SMOTE,0.61 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,SVM,SVMSMOTE,0.61 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,XGBoost,BorderlineSMOTE,0.60 $\pm$ 0.01,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.01,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02
en,XGBoost,No Upsampling,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03,0.63 $\pm$ 0.03,0.64 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01
en,XGBoost,Random Oversampling,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03,0.63 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
en,XGBoost,SMOTE,0.60 $\pm$ 0.01,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02
en,XGBoost,SVMSMOTE,0.60 $\pm$ 0.01,0.63 $\pm$ 0.02,0.63 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
fr,Binary Relevance kNN,Natively Multilabel,0.26 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.03,0.36 $\pm$ 0.02,0.30 $\pm$ 0.01,0.37 $\pm$ 0.01
fr,ComplementNB,RakelD Partitioning of labels,0.44 $\pm$ 0.01,0.45 $\pm$ 0.04,0.49 $\pm$ 0.03,0.49 $\pm$ 0.03,0.50 $\pm$ 0.01,0.55 $\pm$ 0.04
fr,KNN,BorderlineSMOTE,0.45 $\pm$ 0.01,0.41 $\pm$ 0.02,0.42 $\pm$ 0.01,0.46 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.01
fr,KNN,No Upsampling,0.36 $\pm$ 0.02,0.33 $\pm$ 0.02,0.35 $\pm$ 0.03,0.41 $\pm$ 0.03,0.38 $\pm$ 0.02,0.45 $\pm$ 0.03
fr,KNN,Random Oversampling,0.44 $\pm$ 0.01,0.41 $\pm$ 0.01,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.47 $\pm$ 0.01,0.51 $\pm$ 0.01
fr,KNN,SMOTE,0.44 $\pm$ 0.01,0.42 $\pm$ 0.02,0.44 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.50 $\pm$ 0.01
fr,KNN,SVMSMOTE,0.41 $\pm$ 0.01,0.39 $\pm$ 0.04,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02,0.45 $\pm$ 0.01,0.50 $\pm$ 0.01
fr,LinearSVM,BorderlineSMOTE,0.43 $\pm$ 0.03,0.42 $\pm$ 0.02,0.47 $\pm$ 0.01,0.48 $\pm$ 0.03,0.49 $\pm$ 0.01,0.52 $\pm$ 0.02
fr,LinearSVM,No Upsampling,0.42 $\pm$ 0.00,0.43 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.49 $\pm$ 0.01,0.53 $\pm$ 0.02
fr,LinearSVM,RakelD Partitioning of labels,0.42 $\pm$ 0.00,0.42 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.50 $\pm$ 0.01,0.53 $\pm$ 0.00
fr,LinearSVM,Random Oversampling,0.42 $\pm$ 0.00,0.42 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.00
fr,LinearSVM,SMOTE,0.42 $\pm$ 0.03,0.42 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.49 $\pm$ 0.01,0.52 $\pm$ 0.02
fr,LogisticRegression,BorderlineSMOTE,0.41 $\pm$ 0.01,0.38 $\pm$ 0.03,0.40 $\pm$ 0.02,0.41 $\pm$ 0.03,0.45 $\pm$ 0.03,0.49 $\pm$ 0.01
fr,LogisticRegression,No Upsampling,0.38 $\pm$ 0.01,0.34 $\pm$ 0.01,0.38 $\pm$ 0.02,0.39 $\pm$ 0.03,0.43 $\pm$ 0.03,0.46 $\pm$ 0.03
fr,LogisticRegression,Random Oversampling,0.39 $\pm$ 0.01,0.34 $\pm$ 0.01,0.38 $\pm$ 0.01,0.39 $\pm$ 0.05,0.43 $\pm$ 0.01,0.46 $\pm$ 0.02
fr,LogisticRegression,SMOTE,0.41 $\pm$ 0.01,0.34 $\pm$ 0.01,0.37 $\pm$ 0.01,0.39 $\pm$ 0.03,0.42 $\pm$ 0.02,0.46 $\pm$ 0.02
fr,LogisticRegression,SVMSMOTE,0.40 $\pm$ 0.01,0.34 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.05,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02
fr,LogisticRegressionElasticNet,BorderlineSMOTE,0.42 $\pm$ 0.00,0.39 $\pm$ 0.01,0.42 $\pm$ 0.03,0.44 $\pm$ 0.01,0.45 $\pm$ 0.01,0.51 $\pm$ 0.02
fr,LogisticRegressionElasticNet,No Upsampling,0.40 $\pm$ 0.02,0.38 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.46 $\pm$ 0.00,0.51 $\pm$ 0.01
fr,LogisticRegressionElasticNet,Random Oversampling,0.41 $\pm$ 0.02,0.39 $\pm$ 0.01,0.44 $\pm$ 0.02,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.51 $\pm$ 0.01
fr,LogisticRegressionElasticNet,SMOTE,0.41 $\pm$ 0.02,0.36 $\pm$ 0.01,0.43 $\pm$ 0.02,0.43 $\pm$ 0.01,0.45 $\pm$ 0.01,0.51 $\pm$ 0.03
fr,LogisticRegressionElasticNet,SVMSMOTE,0.41 $\pm$ 0.02,0.38 $\pm$ 0.02,0.43 $\pm$ 0.03,0.44 $\pm$ 0.01,0.46 $\pm$ 0.03,0.51 $\pm$ 0.00
fr,LogisticRegressionLasso,BorderlineSMOTE,0.42 $\pm$ 0.01,0.38 $\pm$ 0.03,0.41 $\pm$ 0.03,0.43 $\pm$ 0.02,0.44 $\pm$ 0.01,0.49 $\pm$ 0.01
fr,LogisticRegressionLasso,No Upsampling,0.41 $\pm$ 0.02,0.36 $\pm$ 0.02,0.41 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.51 $\pm$ 0.02
fr,LogisticRegressionLasso,Random Oversampling,0.42 $\pm$ 0.02,0.35 $\pm$ 0.03,0.40 $\pm$ 0.01,0.44 $\pm$ 0.04,0.44 $\pm$ 0.04,0.51 $\pm$ 0.02
fr,LogisticRegressionLasso,SMOTE,0.41 $\pm$ 0.00,0.35 $\pm$ 0.04,0.41 $\pm$ 0.01,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03,0.51 $\pm$ 0.02
fr,LogisticRegressionLasso,SVMSMOTE,0.41 $\pm$ 0.01,0.36 $\pm$ 0.03,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.43 $\pm$ 0.04,0.50 $\pm$ 0.02
